output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-06-10_06-05.json,gsep_162,2000-06-10 06:05:00,2000-06-10 18:05:00,close,2000-06-10 17:50:00,-15.00,43,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-06-16_19-00.json,gsep_162_1,2000-06-16 19:00:00,2000-06-17 07:00:00,not_found,,,78,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-06-24_23-35.json,gsep_163,2000-06-24 23:35:00,2000-06-25 11:35:00,not_found,,,37,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-07-12_07-40.json,gsep_164,2000-07-12 07:40:00,2000-07-12 19:40:00,not_found,,,9,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-07-13_22-45.json,gsep_165,2000-07-13 22:45:00,2000-07-14 10:45:00,close,2000-07-14 09:50:00,-55.00,20,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-07-22_01-20.json,gsep_166,2000-07-22 01:20:00,2000-07-22 13:20:00,not_found,,,15,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-07-27_22-50.json,gsep_167,2000-07-27 22:50:00,2000-07-28 10:50:00,close,2000-07-28 09:15:00,-95.00,40,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-08-11_04-50.json,gsep_168,2000-08-11 04:50:00,2000-08-11 16:50:00,not_found,,,16,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-08-12_12-45.json,gsep_169,2000-08-12 12:45:00,2000-08-13 00:45:00,not_found,,,4,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-09-12_04-00.json,gsep_170,2000-09-12 04:00:00,2000-09-12 16:00:00,not_found,,,41,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-10-15_23-25.json,gsep_171,2000-10-15 23:25:00,2000-10-16 11:25:00,not_found,,,19,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-10-25_12-40.json,gsep_172,2000-10-25 12:40:00,2000-10-26 00:40:00,not_found,,,8,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-10-29_23-40.json,gsep_173,2000-10-29 23:40:00,2000-10-30 11:40:00,not_found,,,19,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-11-08_11-50.json,gsep_174,2000-11-08 11:50:00,2000-11-08 23:50:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-11-23_20-00.json,gsep_175,2000-11-23 20:00:00,2000-11-24 08:00:00,close,2000-11-24 08:05:00,5.00,11,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-11-24_03-20.json,gsep_176,2000-11-24 03:20:00,2000-11-24 15:20:00,not_found,,,7,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2000-11-25_12-05.json,gsep_177,2000-11-25 12:05:00,2000-11-26 00:05:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-01-21_07-20.json,gsep_178,2001-01-21 07:20:00,2001-01-21 19:20:00,close,2001-01-21 19:15:00,-5.00,267,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-01-28_08-25.json,gsep_179,2001-01-28 08:25:00,2001-01-28 20:25:00,not_found,,,5,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-02-25_21-00.json,gsep_179_1,2001-02-25 21:00:00,2001-02-26 09:00:00,not_found,,,29,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-03-26_06-45.json,gsep_180,2001-03-26 06:45:00,2001-03-26 18:45:00,close,2001-03-26 17:55:00,-50.00,51,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-03-29_04-35.json,gsep_181,2001-03-29 04:35:00,2001-03-29 16:35:00,not_found,,,49,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-01_23-20.json,gsep_182,2001-04-01 23:20:00,2001-04-02 11:20:00,not_found,,,38,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-02_11-40.json,gsep_183,2001-04-02 11:40:00,2001-04-02 23:40:00,close,2001-04-02 22:25:00,-75.00,10,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-09_04-05.json,gsep_184,2001-04-09 04:05:00,2001-04-09 16:05:00,not_found,,,9,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-09_20-50.json,gsep_185,2001-04-09 20:50:00,2001-04-10 08:50:00,close,2001-04-10 08:45:00,-5.00,4,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-11_23-20.json,gsep_186,2001-04-11 23:20:00,2001-04-12 11:20:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-15_02-10.json,gsep_187,2001-04-15 02:10:00,2001-04-15 14:10:00,close,2001-04-15 14:05:00,-5.00,15,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-17_15-15.json,gsep_188,2001-04-17 15:15:00,2001-04-18 03:15:00,close,2001-04-18 02:45:00,-30.00,8,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-04-27_16-30.json,gsep_189,2001-04-27 16:30:00,2001-04-28 04:30:00,not_found,,,2,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-05-07_07-15.json,gsep_190,2001-05-07 07:15:00,2001-05-07 19:15:00,close,2001-05-07 18:35:00,-40.00,57,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-05-19_18-55.json,gsep_191,2001-05-19 18:55:00,2001-05-20 06:55:00,close,2001-05-20 06:55:00,0.00,71,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-06-15_05-50.json,gsep_192,2001-06-15 05:50:00,2001-06-15 17:50:00,not_found,,,33,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-08-09_22-20.json,gsep_193,2001-08-09 22:20:00,2001-08-10 10:20:00,not_found,,,25,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-08-15_13-35.json,gsep_194,2001-08-15 13:35:00,2001-08-16 01:35:00,not_found,,,15,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-09-15_02-35.json,gsep_195,2001-09-15 02:35:00,2001-09-15 14:35:00,close,2001-09-15 14:30:00,-5.00,91,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-09-24_00-15.json,gsep_196,2001-09-24 00:15:00,2001-09-24 12:15:00,close,2001-09-24 12:10:00,-5.00,97,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-01_01-20.json,gsep_197,2001-10-01 01:20:00,2001-10-01 13:20:00,not_found,,,9,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-09_05-00.json,gsep_198,2001-10-09 05:00:00,2001-10-09 17:00:00,not_found,,,29,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-18_13-55.json,gsep_199,2001-10-18 13:55:00,2001-10-19 01:55:00,not_found,,,11,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-19_07-35.json,gsep_200,2001-10-19 07:35:00,2001-10-19 19:35:00,close,2001-10-19 19:30:00,-5.00,96,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-22_07-10.json,gsep_201,2001-10-22 07:10:00,2001-10-22 19:10:00,close,2001-10-22 19:05:00,-5.00,103,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-10-27_15-00.json,gsep_201_1,2001-10-27 15:00:00,2001-10-28 03:00:00,not_found,,,59,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-11-04_05-05.json,gsep_202,2001-11-04 05:05:00,2001-11-04 17:05:00,close,2001-11-04 17:00:00,-5.00,3,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-11-19_00-30.json,gsep_203,2001-11-19 00:30:00,2001-11-19 12:30:00,not_found,,,0,
